channel_id,channel_number,node,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1,1,0.999863826,0.999888635,0.999926324,0.999966721,0.999955754,0.999951419,0.999985235,0.999975789,0.999986197,0.999988835,0.999976912,0.997902929
1,2,2,0.9997685,0.999783804,0.999892991,0.99993452,0.999929339,0.999911618,0.999747756,0.999908271,0.999914565,0.999945175,0.999805577,0.993635494
2,3,3,0.999621665,0.99962136,0.999838165,0.999928985,0.999919073,0.999903926,0.99885056,0.999706278,0.999683609,0.99978942,0.999441493,0.993150945
3,4,4,0.998071684,0.998110116,0.998897426,0.999904158,0.999779254,0.999901382,0.995019104,0.998554456,0.99805459,0.998031739,0.997380843,0.98410749
4,5,5,0.996972565,0.998296239,0.998980188,0.999875204,0.999709719,0.998879937,0.993388664,0.998278402,0.996835705,0.997355917,0.996393292,0.974659364
5,6,6,0.995334652,0.996006414,0.997374114,0.999769953,0.999363786,0.998780729,0.987270828,0.996318282,0.992677785,0.993569587,0.992881007,0.96372494
6,7,7,0.99567567,0.995908213,0.997187792,0.999596501,0.999137194,0.998803403,0.986315656,0.995970183,0.991627268,0.992964068,0.991991549,0.956669855
7,8,8,0.896441071,0.841405675,0.860181378,0.927011043,0.917677757,0.950223719,0.644190119,0.761141486,0.470315915,0.637268989,0.63038732,0.091031785
8,9,9,0.89272845,0.837857312,0.857088493,0.923599126,0.917453504,0.947886572,0.639956936,0.758042326,0.477995778,0.640146595,0.638669886,0.136870237
9,10,10,0.904363392,0.851660914,0.864503768,0.930790419,0.9213039,0.953823314,0.625875132,0.756450588,0.478943122,0.644417005,0.645703839,0.154799826
10,11,11,0.910981402,0.859168982,0.868839179,0.934929121,0.923348488,0.957369295,0.615197698,0.75672663,0.48251101,0.648534375,0.651708658,0.171540516
11,12,12,0.923628075,0.872856334,0.877525068,0.942894906,0.927286066,0.963455361,0.605558067,0.760907569,0.493327638,0.658577394,0.661499846,0.191284088
12,13,13,0.928786768,0.877843792,0.880662076,0.945870221,0.92898073,0.965941142,0.602477824,0.763783539,0.500035394,0.664515845,0.664977927,0.203682551
13,14,14,0.931368801,0.880340304,0.882383953,0.947303254,0.929885767,0.967143498,0.603050446,0.767675099,0.514162816,0.674182266,0.669000247,0.221035744
14,15,15,0.934250749,0.883084188,0.88422385,0.948857143,0.930982839,0.968444746,0.601821819,0.771083058,0.527329883,0.682762818,0.670576856,0.2312673
15,16,16,0.939358132,0.889883787,0.890729826,0.953508074,0.934089284,0.972614353,0.625293882,0.784777888,0.572378488,0.710746067,0.678442162,0.275524486
16,17,17,0.999952936,0.999964703,0.999980352,0.999981596,0.999979839,0.999969895,0.99999592,0.999997651,0.999999999,0.999999767,1,1
17,18,18,0.940895241,0.892438375,0.893540147,0.954834041,0.934865415,0.973076654,0.655173503,0.809846603,0.653503538,0.759347544,0.704519133,0.379588096
18,19,19,0.941055069,0.892807942,0.894097264,0.955208269,0.934972569,0.973124799,0.667977733,0.817428489,0.676954685,0.77077114,0.720636376,0.408371218
19,20,20,0.940967928,0.892709837,0.894256583,0.955511437,0.934964655,0.973094194,0.683617273,0.826214903,0.700218805,0.77836798,0.742587938,0.438816848
20,21,21,0.947504664,0.896124264,0.909264805,0.954361359,0.933799245,0.970450298,0.707580564,0.838018241,0.72541246,0.78644009,0.8116866,0.468381484
21,22,22,0.947646238,0.896670939,0.910020423,0.954825373,0.933957256,0.970610221,0.730081306,0.849565442,0.748408897,0.79732419,0.803813286,0.500714615
22,23,23,0.947949276,0.897362666,0.911077344,0.95540809,0.934238354,0.970775174,0.74844891,0.859149754,0.765822964,0.807645235,0.798330338,0.527612946
23,24,24,0.95586951,0.912365827,0.9252356,0.970463254,0.948239319,0.988284308,0.810533882,0.896415754,0.820162437,0.847010268,0.832628336,0.615375037
24,25,25,0.956248561,0.913644487,0.926971881,0.971082628,0.948664906,0.988436072,0.832799452,0.90480621,0.835799178,0.856126731,0.843691938,0.652995703
25,26,26,0.757572362,0.669270819,0.711573889,0.712704936,0.697725359,0.69027916,0.62125563,0.663837933,0.566080695,0.588872332,0.54808027,0.349520379
26,27,28,0.772117376,0.703625739,0.750772035,0.728081847,0.732099308,0.746650608,0.654684095,0.755762477,0.676395889,0.636539022,0.650229375,0.489995393
27,28,27,0.760155177,0.675209829,0.717883213,0.719166617,0.701214128,0.693534173,0.640825306,0.687483575,0.599809674,0.61251288,0.576344403,0.384426631
28,29,29,0.7762081,0.720511474,0.766269909,0.731024275,0.742618905,0.757330118,0.696997544,0.780497462,0.712649775,0.669478002,0.681572551,0.545895138
29,30,26,0.798555787,0.715573839,0.752599771,0.758725659,0.760212177,0.773275375,0.551031059,0.692963645,0.60151951,0.626692023,0.679774403,0.499084043
30,31,29,0.789370399,0.70965602,0.749459873,0.745515341,0.747806046,0.757082915,0.578618484,0.721021902,0.624637244,0.624421379,0.663623127,0.485051185
31,32,30,0.871692394,0.867083766,0.875457586,0.780550079,0.820848753,0.758682634,0.826971153,0.860550175,0.811461026,0.7372346,0.81917322,0.814982566
32,33,31,0.086563075,0,0,0,0,0.00E+00,0,0,0,0,0,0.064416171
33,34,30,0.684545016,0.600998171,0.641804926,0.613868349,0.640042214,0.648684687,0.441184519,0.603693884,0.534483086,0.541898957,0.575476571,0.447299717
34,35,31,0.485695448,0.447149291,0.499080717,0.267730447,0.378927877,0.434108823,0.358092759,0.522490158,0.462337337,0.446933094,0.417181103,0.301817155
35,36,32,0.631813853,0.614071358,0.675850202,0.536459487,0.585518607,0.621726448,0.4806113,0.619074418,0.576179741,0.538309471,0.592445278,0.485459749
36,37,33,0.651956416,0.613848194,0.680406468,0.544485238,0.575898154,0.619487683,0.538294218,0.664152445,0.628485914,0.578985297,0.628173568,0.514081563
37,38,34,0.603105358,0.591558885,0.637845359,0.438508936,0.520187513,0.559753365,0.45306658,0.595915723,0.570981827,0.534957146,0.567798303,0.471479811
38,39,35,0.560585432,0.56019635,0.576431602,0.335440948,0.423093624,0.474550672,0.44299049,0.571895329,0.530050465,0.487393963,0.499127031,0.409559384
39,40,36,0.569252159,0.577523566,0.591934878,0.351779379,0.443331237,0.487149168,0.469029168,0.586537844,0.546240748,0.495588928,0.509521133,0.423099525
40,41,35,0.660100693,0.669466092,0.667654165,0.450911601,0.530869881,0.523050197,0.630509864,0.673075635,0.637535774,0.539348754,0.578738535,0.506816415
41,42,37,0.604981658,0.615705474,0.63096372,0.385455479,0.476632291,0.502668445,0.547706467,0.63075881,0.592538388,0.51372601,0.540417529,0.457465172
42,43,38,0.622074456,0.414846525,0.43638203,0.276304488,0.359365051,0.302768851,0.449887072,0.580851807,0.555740158,0.506238641,0.502497006,0.444755841
43,44,39,0.680291776,0.487245477,0.493588708,0.317612129,0.402639375,0.360951313,0.497039135,0.609370564,0.585264105,0.522178991,0.530623671,0.466731457
44,45,40,0.64446534,0.652763736,0.676864508,0.448394894,0.494882993,0.519101825,0.592902506,0.661262014,0.647981884,0.60093526,0.630241539,0.533933991
45,46,41,0.654166396,0.671118138,0.689367825,0.469332105,0.515753075,0.531451843,0.620284623,0.674007397,0.664056795,0.613834372,0.642545584,0.54921552
46,47,42,0.664954823,0.683644441,0.683752956,0.467507232,0.511988778,0.523363425,0.627597853,0.680911362,0.675139681,0.621427247,0.64824722,0.556945385
47,48,43,0.68133938,0.672243905,0.719457955,0.542729945,0.549597941,0.550680448,0.640972345,0.70941187,0.703269147,0.658316708,0.675224709,0.583240571
48,49,469,0.668644483,0.678933147,0.715766462,0.509469617,0.524975778,0.532674837,0.695141986,0.725065718,0.708494092,0.650790842,0.666253963,0.566413569
49,50,45,0.690544394,0.707026164,0.720884638,0.51344397,0.534577976,0.543620248,0.740090298,0.746102938,0.729371226,0.6926399,0.699714214,0.593440945
50,51,461,0.69273471,0.702870208,0.725493586,0.513931058,0.542767336,0.555369793,0.759823938,0.769359786,0.750496542,0.724116877,0.718184906,0.603387431
51,52,46,0.714400768,0.733874708,0.746617703,0.559008232,0.573446434,0.573860285,0.783257943,0.776398381,0.758042032,0.734909967,0.733710187,0.632561712
52,53,47,0.748908692,0.793575066,0.791987182,0.621552057,0.620389286,0.586604707,0.82027268,0.798024776,0.772264168,0.742270174,0.743181215,0.675518435
53,54,8,0.895397039,0.829635628,0.847767338,0.930258758,0.89741993,0.959059005,0.557605834,0.806082483,0.422801756,0.59581916,0.565860012,0
54,55,48,0.890523182,0.822923921,0.844256999,0.92607213,0.895139759,0.957146102,0.550729925,0.806473346,0.417741898,0.590462849,0.557751629,0
55,56,49,0.899363751,0.83760792,0.853795532,0.930637485,0.902184017,0.960047136,0.550592855,0.808083464,0.42429598,0.590369059,0.556428998,0
56,57,50,0.906304579,0.847620461,0.860031735,0.934826918,0.906860704,0.962563694,0.548886386,0.80899798,0.427132691,0.589052958,0.553493539,0
57,58,51,0.912363431,0.856522357,0.865836639,0.938582548,0.910936205,0.964670468,0.548646207,0.809584265,0.429660425,0.587612477,0.550624527,0
58,59,52,0.900241561,0.838432871,0.844884893,0.918227233,0.89264137,0.953932714,0.504282617,0.782456484,0.355450518,0.55159245,0.51856893,0
59,60,53,0.901128969,0.840486525,0.846344158,0.918583318,0.894556795,0.954668108,0.500300715,0.782838061,0.353272723,0.548996881,0.514398488,0
60,61,54,0.921315739,0.856221847,0.856925131,0.927880406,0.901173121,0.960782942,0.484709904,0.78668313,0.356881227,0.553269659,0.515931741,0.0696393
61,62,55,0.924776857,0.860733663,0.86007215,0.930399581,0.904637501,0.962480112,0.483580242,0.787243718,0.358909795,0.55552363,0.514855858,0.115870959
62,63,56,0.854548918,0.792955228,0.775457627,0.854919529,0.899260834,0.887591976,0.580882581,0.730962437,0.687915115,0.562479477,0.551176452,0.339586483
63,65,169,0.859931954,0.734894555,0.744502652,0.830028184,0.896802522,0.937129895,0.593709912,0.758131337,0.705693384,0.576741762,0.581438819,0.347983981
64,66,169,0.863328181,0.723461381,0.718187328,0.816357151,0.90071976,0.93862402,0.55802311,0.727095935,0.620427826,0.504884574,0.505432708,0
65,67,57,0.891911043,0.779573434,0.778591312,0.916149741,0.918709843,0.961496707,0.562602103,0.713062863,0.633198791,0.507490628,0.501978099,0
66,68,58,0.904924739,0.798340102,0.796789236,0.921282622,0.918479725,0.960630755,0.255337424,0.67359094,0.548430303,0.449792941,0.417626043,0
67,69,57,0.867671756,0.845648766,0.835507403,0.880805299,0.909934914,0.910502646,0.564977026,0.762012572,0.658173505,0.577732337,0.561959799,0.137123326
68,70,59,0.907244444,0.828509441,0.834788895,0.958886469,0.940417504,0.967468451,0.29461556,0.678555035,0.558679483,0.455702427,0.442424628,0
69,71,60,0.909134751,0.831795986,0.836700363,0.959934313,0.940795586,0.96739048,0.280355579,0.673263012,0.562374311,0.454064111,0.431069155,0.071686414
70,72,61,0.910614064,0.836049947,0.839969513,0.960557511,0.941973655,0.966387435,0.255524924,0.670983679,0.573984028,0.465061321,0.427135205,0.23543325
71,73,62,0.911665449,0.841820227,0.842745654,0.959703721,0.945251437,0.964077605,0.234722162,0.675841998,0.58811061,0.482118105,0.433304218,0.347663848
72,74,63,0.914821149,0.846075564,0.849861731,0.965389267,0.944870376,0.965177167,0.265843188,0.695771213,0.626469865,0.504363062,0.441395391,0.369980262
73,75,64,0.916109951,0.850297141,0.853150913,0.966571545,0.945912052,0.964320258,0.280703462,0.698776467,0.646702596,0.516847938,0.459097199,0.419854732
74,76,65,0.919148417,0.858937886,0.857554456,0.969155134,0.949241475,0.962060198,0.291550276,0.701248182,0.666184728,0.529101175,0.479000864,0.498169354
75,77,66,0.921023118,0.863092165,0.861730787,0.971374008,0.949726238,0.961491907,0.346319493,0.70954336,0.698652572,0.547200459,0.503734889,0.531868193
76,78,67,0.922958083,0.868210258,0.86859166,0.973273089,0.950031319,0.96094859,0.478386762,0.728925626,0.742023208,0.577262808,0.531985282,0.587795727
77,79,68,0.92341689,0.869124483,0.870514942,0.973556482,0.950030302,0.961254511,0.488068209,0.730800592,0.751164374,0.585523526,0.541644807,0.593386025
78,80,69,0.925604943,0.875152554,0.873219051,0.974825463,0.962964236,0.937475518,0.569379082,0.816932515,0.814674701,0.671245569,0.687141963,0.634670027
79,81,70,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
80,82,71,0.410899892,0.203392392,0.256479287,0.067809961,0.158995337,0.260383536,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00
81,83,44,0.666755114,0.674773126,0.712859388,0.50436192,0.519525531,0.530211846,0.690192104,0.723931115,0.70564023,0.647944671,0.663273847,0.562732409
82,84,73,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
83,85,74,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
84,86,75,0,0,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
85,88,77,0,0,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
86,89,78,0,0,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
87,90,79,0,0,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
88,91,80,0,0,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
89,92,81,0,0,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
90,94,82,0,0,0,0.00E+00,0,0,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
91,95,84,0,0,0,0.00E+00,0,0,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
92,96,85,0,0,0,0.00E+00,0,0,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
93,97,86,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00
94,101,88,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00
95,102,89,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00
96,104,90,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0,0,0.00E+00
97,105,91,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00
98,106,92,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00
99,107,93,0.064150201,0,0,0.00E+00,0,0,0,0,0,0,0,0
100,108,93,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
101,111,94,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
102,114,98,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
103,115,97,0.115847266,0,0,0,0,0,0.060148906,0.106869746,0.059449423,0.053533664,0,0
104,116,98,0.109481459,0,0,0.00E+00,0,0,0.130156742,0.20082691,0.13611647,0.124672163,0.065505173,0
105,117,99,0.181206318,0.063453465,0.072869998,0,0,0,0.146281675,0.240920574,0.17566712,0.154156616,0.099636563,0
106,118,100,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
107,119,100,0.356504305,0.187300542,0.177520967,0,0.066745226,0.055235691,0.106898246,0.206789509,0.164896611,0.19830393,0.174763709,0.110336134
108,120,101,0.391941179,0.378361294,0.391909157,0.08328349,0.16263813,0.291771077,0.069465544,0.117378655,0,0,0.070649711,0
109,121,102,0.152933664,0,0.05348591,0,0,0,0.094059013,0.166908114,0.106869105,0.097168953,0.06148109,0
110,122,232,0.221856508,0.134787388,0.14412229,0,0.059128815,0,0.236738814,0.406086549,0.373642933,0.356679997,0.308369879,0.241811523
111,123,101,0.265853101,0.167541292,0.175581829,0.063888684,0.101737922,0,0.208005908,0.33528815,0.338819612,0.34476014,0.305040794,0.240963513
112,124,103,0.379486289,0.397804801,0.299264813,0.133288977,0.186821069,0,0.245179105,0.313982951,0.372217506,0.41530434,0.390143213,0.35551122
113,125,52,0.821149357,0.690286881,0.654404046,0.767966836,0.73571206,0.83622476,0.676659994,0.831850873,0.369800543,0.528551682,0.542772577,0.00E+00
114,126,104,0.831304494,0.707251975,0.666485975,0.779622549,0.746036749,0.850767676,0.649705771,0.834713438,0.351122977,0.534566686,0.553929318,0.00E+00
115,127,105,0.857073302,0.748799468,0.703115692,0.806077327,0.775204975,0.877201584,0.662185963,0.844429137,0.365878261,0.568975755,0.586556928,0
116,128,106,0.865782935,0.762120076,0.717102446,0.817728465,0.784679737,0.889982127,0.706065386,0.850226099,0.395863826,0.60318557,0.613427383,0
117,129,107,0.874660577,0.780309586,0.748637092,0.82806175,0.791577693,0.906830554,0.783678408,0.868444005,0.543428252,0.693055582,0.635657684,0.143907077
118,130,108,0.885646103,0.791341119,0.756487301,0.83490795,0.803843506,0.913852318,0.784542166,0.869738293,0.602507048,0.727702574,0.640754775,0.205178358
119,131,109,0.893640732,0.800646553,0.765295551,0.844534963,0.809112028,0.915877235,0.778249679,0.87168757,0.646167992,0.749404069,0.676070083,0.295421362
120,132,110,0.888785006,0.789230426,0.750762539,0.838954178,0.807480121,0.915564314,0.795576015,0.873555306,0.662787534,0.751670199,0.682280494,0.36123265
121,133,111,0.881334722,0.770815937,0.728678314,0.830293469,0.807877201,0.914045056,0.791912984,0.874078908,0.684783716,0.752304892,0.680968363,0.430561564
122,134,112,0.883198063,0.777242343,0.736051501,0.84004145,0.776622364,0.883327434,0.717874891,0.804576571,0.63595144,0.669428195,0.579254491,0.534403421
123,135,113,0,0,0,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
124,136,114,0,0,0,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
125,137,115,0,0,0,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
126,138,116,0,0,0,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
127,139,117,0,0,0,0.00E+00,0,0,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
128,140,118,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
129,141,118,0,0,0,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
130,142,119,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00
131,143,120,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00
132,144,121,0.06241105,0,0,0,0,0,0,0,0.00E+00,0,0,0
133,145,123,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0.00E+00,0.00E+00
134,146,122,0.162101291,0.196470057,0.151442576,0,0.134920724,0.119426952,0.499941939,0.451938676,0.290373584,0.217866244,0.170488472,0.142737023
135,147,123,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
136,148,122,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0,0,0
137,149,124,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
138,150,125,0.059918368,0,0,0.00E+00,0,0,0,0,0,0,0,0
139,151,126,0.063309962,0,0,0.00E+00,0,0,0,0,0,0,0,0
140,152,127,0.135278315,0.052995242,0,0,0,0,0,0.109708961,0.06907812,0.104289613,0.083126771,0.063067505
141,153,128,0.141933538,0.05763945,0.052655053,0,0,0,0.052076913,0.125905119,0.086574486,0.122577236,0.098662623,0.073223394
142,154,129,0.057941621,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0,0
143,155,130,0.056825187,0,0,0,0,0.00E+00,0.07991771,0.149480377,0.120767708,0.136244663,0.095719693,0
144,156,130,0.091225183,0,0,0,0,0,0.071737472,0.15224834,0.125934764,0.155609626,0.119732691,0.084384943
145,157,131,0.070300702,0,0,0,0,0.00E+00,0.070105761,0.14540878,0.129187448,0.162621432,0.126469914,0.075342401
146,158,131,0.073809465,0,0,0,0,0,0.303214574,0.365096725,0.250033814,0.214364743,0.144065281,0.083000229
147,159,132,0.091202747,0,0,0,0,0,0.086652804,0.173076037,0.148753836,0.174572567,0.134672267,0.088882594
148,160,133,0.147795519,0.08421612,0.056305583,0.00E+00,0,0.00E+00,0,0,0,0,0,0
149,161,133,0.431269349,0.272589804,0.289027202,0.09677957,0.127339937,0.09227604,0.36590097,0.481139398,0.411878922,0.373807434,0.33567302,0.271913595
150,162,134,0.460989586,0.424187003,0.480356872,0.221920078,0.350364148,0.325418575,0.430074964,0.296583412,0.17810263,0.205290718,0.23063934,0.230458121
151,163,134,0.643740599,0.540835055,0.52873926,0.253220132,0.336824144,0.350009449,0.569054662,0.613329785,0.551686794,0.453858517,0.461753243,0.390953195
152,164,144,0.217294766,0.05346934,0.062584875,0,0,0,0.06098506,0.097495807,0,0,0,0
153,165,135,0.231767927,0.061374212,0.072195896,0,0,0,0.077359982,0.12249057,0.070727203,0.06744563,0,0
154,166,136,0.307012293,0.169422951,0.176625044,0,0.058799726,0,0.203206664,0.294800568,0.248452977,0.248548322,0.197052136,0.144760375
155,167,137,0.319433416,0.18121744,0.188627426,0,0.064983143,0,0.220678106,0.320511975,0.277713539,0.273986943,0.220358509,0.162975003
156,168,136,0.15935612,0,0,0,0,0,0.126734222,0.198168395,0.162615554,0.162026349,0.106851102,0
157,169,16,0.92556833,0.87437419,0.872113588,0.929551645,0.919104287,0.948390649,0.592781938,0.758929403,0.482790998,0.646214207,0.608641779,0.123137681
158,170,138,0.926707976,0.871645212,0.872822324,0.932642531,0.918824806,0.94713956,0.574541003,0.764355544,0.494701496,0.653529569,0.625360942,0.136113223
159,171,139,0.926063541,0.871126857,0.873594167,0.93375368,0.917899193,0.946471212,0.652976923,0.811485017,0.647337386,0.754110133,0.702616072,0.362873702
160,172,140,0.090509001,0,0,0,0,0.00E+00,0,0.085615617,0.067308477,0.107775908,0.105288955,0.089713604
161,173,141,0.073350439,0,0,0,0,0.00E+00,0,0,0,0.052761415,0.054241679,0.055986663
162,174,142,0.061851039,0,0,0,0,0.00E+00,0,0,0,0,0,0
163,175,143,0,0,0,0.00E+00,0,0.00E+00,0,0,0.00E+00,0.00E+00,0,0
164,176,144,0,0,0,0.00E+00,0,0.00E+00,0,0,0.00E+00,0,0,0
165,177,145,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
166,178,124,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
167,179,125,0.05100396,0,0,0.00E+00,0,0,0,0,0.00E+00,0,0,0
168,180,146,1,1,1,1,1,1,1,1,1,1,1,1
169,181,147,0.973898254,0.970093839,0.976640434,0.97224046,0.976850293,0.974804278,0.987092023,0.987643106,0.974553643,0.975241794,0.976448256,0.974111047
170,182,148,0.981386167,0.969652059,0.979712401,0.974379407,0.974257953,0.973405858,0.985986802,0.987614578,0.973741768,0.974321378,0.975662303,0.97366243
171,183,149,0.971879734,0.945567853,0.954912406,0.958977013,0.978771892,0.952383427,0.969149865,0.9711626,0.972255704,0.959407497,0.951617584,0.969618948
172,184,150,1,1,1,0.999999792,1,1,1,1,1,1,1,1
173,185,151,1,1,1,1,1,1,1,1,1,1,1,1
174,186,152,0.972190796,0.985510398,0.987754115,0.968808189,0.976224974,0.968888446,0.983232321,0.986680793,0.984847893,0.985768748,0.98799698,0.975031051
175,187,153,0.973350921,0.986762267,0.985290946,0.960888423,0.973421169,0.969669,0.982052087,0.982302948,0.978501084,0.983539261,0.989002662,0.974569698
176,188,154,0.971500396,0.986282011,0.977413396,0.954534799,0.970251576,0.970261212,0.980616165,0.981473291,0.972705034,0.982146352,0.98933153,0.975372841
177,189,155,0.970673111,0.97760392,0.985265477,0.97232623,0.973644434,0.962924076,0.983313207,0.985810268,0.988393537,0.98568555,0.989357246,0.975271834
178,190,156,0.970329629,0.979062734,0.984095573,0.964023721,0.97095946,0.964207645,0.981775425,0.983909524,0.98556744,0.983935794,0.990091272,0.97547988
179,191,157,0.969210599,0.978253886,0.981811467,0.955687574,0.969086389,0.964122404,0.980752464,0.982306446,0.98112123,0.982849082,0.990537507,0.975448091
180,192,158,0.969049198,0.978887214,0.979959857,0.951714773,0.968846121,0.9641483,0.980023486,0.981198316,0.9776399,0.982183982,0.99109813,0.975657146
181,193,159,0.970338191,0.981478795,0.98166733,0.954947329,0.969733173,0.96563043,0.979517044,0.981806917,0.980291335,0.982068971,0.991218639,0.975346997
182,194,160,0.969909111,0.980966854,0.980208583,0.952485083,0.969425261,0.965430267,0.979020552,0.981025911,0.977848225,0.981675068,0.991385271,0.975385031
183,195,5,0.952508025,0.97586011,-1,-1,0.967680626,0.973714635,-1,-1,-1,-1,-1,-1
184,196,162,0.95252299,0.969943355,0.962557753,0.967841974,0.97827416,0.974061595,0.98526771,0.981753776,0.971854502,0.950308055,0.932296828,0.903824203
185,197,163,0.95268699,0.963556122,0.949227754,0.952202041,0.96611228,0.975873196,0.985160053,0.966890074,0.9634744,0.941354108,0.927358649,0.928524889
